tool,round,rc,ms,tp,fp,fn,precision,recall,f1,detected_count
rscan_aggressive,1,0,411,16,0,0,1.0,1.0,1.0,16
rscan_aggressive,2,0,458,16,2,0,0.8888888888888888,1.0,0.9411764705882353,18
rscan_aggressive,3,0,436,16,1,0,0.9411764705882353,1.0,0.9696969696969697,17
rscan_aggressive,4,0,436,16,1,0,0.9411764705882353,1.0,0.9696969696969697,17
rscan_aggressive,5,0,405,16,0,0,1.0,1.0,1.0,16
rustscan_default,1,0,1824,16,0,0,1.0,1.0,1.0,16
rustscan_default,2,0,1924,16,1,0,0.9411764705882353,1.0,0.9696969696969697,17
rustscan_default,3,0,1844,16,0,0,1.0,1.0,1.0,16
rustscan_default,4,0,1794,16,0,0,1.0,1.0,1.0,16
rustscan_default,5,0,1881,16,3,0,0.8421052631578947,1.0,0.9142857142857143,19
nmap_default,1,0,441,16,0,0,1.0,1.0,1.0,16
nmap_default,2,0,433,16,0,0,1.0,1.0,1.0,16
nmap_default,3,0,1463,16,0,0,1.0,1.0,1.0,16
nmap_default,4,0,1452,16,0,0,1.0,1.0,1.0,16
nmap_default,5,0,1437,16,0,0,1.0,1.0,1.0,16
